sha,date,subject,src_files,n_later_commits,seed_ctx_syms,seed_crude_syms,later_ctx_syms,file_hit,ctx_hit,crude_hit,ctx_hit_730,overlap_ctx
24bd19e3cc12,2025-07-19,[RTG] Fix ValidateOp elaboration (#8743),lib/Dialect/RTG/Transforms/ElaborationPass.cpp,21,2,16,24,1,1,1,1,IdentityValue;TupleStorage
47cf87cdcdd3,2025-07-18,[firtool] Fix argument passing to LowerAnnotations,lib/Firtool/Firtool.cpp,33,1,2,9,1,1,0,1,populatePreprocessTransforms
3e42dbce123a,2025-07-17,[ESI] Fix wrap op canonicalizers (#8730),lib/Dialect/ESI/ESIDialect.cpp;lib/Dialect/ESI/ESIFolds.cpp,8,3,18,5,1,1,1,1,canonicalize;fold;materializeConstant
7df789c3ba70,2025-07-12,[Comb] Fix excessive const shifts causing crashes and invalid IR (#8696),lib/Dialect/Comb/CombFolds.cpp,23,2,8,20,1,1,1,1,canonicalize;fold
ece9412ddfe3,2025-07-11,[VerifToSMT] Fix lowering of initial integer values for BMC (#8689),lib/Conversion/VerifToSMT/VerifToSMT.cpp,13,2,9,10,1,1,1,1,VerifBoundedModelCheckingOpConversion;runOnOperation
dfa0fe98e99c,2025-07-09,[FIRRTL] Fix inject-dut-hier deleting new top (#8678),lib/Dialect/FIRRTL/Transforms/InjectDUTHierarchy.cpp,5,1,4,1,1,1,0,1,runOnOperation
3df813fd7e65,2025-07-09,"[ImportVerilog] Fix range selects, unify lvalue/rvalue code paths",lib/Conversion/ImportVerilog/Expressions.cpp,123,4,39,24,1,1,1,1,convertSVIntToFVInt;getSelectIndex
d77bd7f21dbb,2025-07-02,[AIG] Fix history's instance path update in LongestPathAnalysis (#8637),lib/Dialect/AIG/Analysis/LongestPathAnalysis.cpp,12,1,1,40,1,1,1,1,visit
81140f6a2c1e,2025-06-30,[FIRRTL] Fix Grand Central companion not-in-design (#8625),lib/Dialect/FIRRTL/Transforms/GrandCentral.cpp,7,1,1,4,1,1,0,1,runOnOperation
1b810c5d4aed,2025-06-28,[FIRRTL] Fix cat canonicalization to handle mixed signed/unsigned operands (#8621),lib/Dialect/FIRRTL/FIRRTLFolds.cpp,12,0,5,12,1,0,1,0,
09a701bb6577,2025-06-22,[AIG][ImportAIGER] Fix incorrect tokenization and simplify parser (#8588),lib/Conversion/ImportAIGER/ImportAIGER.cpp,5,10,11,13,1,1,1,1,parseAndGatesBinary;parseHeader;parseLatches;parseNumber
ca84bb763f34,2025-06-13,[FIRRTL] Fix public copying in inject-dut-hier,lib/Dialect/FIRRTL/Transforms/InjectDUTHierarchy.cpp,9,1,4,3,1,1,1,1,runOnOperation
5da61416c373,2025-06-06,[LLHD] Fix drive combining for single-element arrays and structs,lib/Dialect/LLHD/Transforms/CombineDrives.cpp,5,1,1,10,1,1,1,1,aggregateDriveSlices
9be24fbb4939,2025-06-04,[LLHD] Fix canonicalizer crashing on empty processes with results,lib/Dialect/LLHD/IR/LLHDOps.cpp,15,1,3,24,1,1,1,1,canonicalize
ce9146a64ab8,2025-06-03,[CombFolds] Fix comb.mul folder for i0,lib/Dialect/Comb/CombFolds.cpp,30,1,3,21,1,1,1,1,fold
a1d66ba13499,2025-06-02,[LLHD] Fix deseq poisoning comb ops that don't depend on triggers (#8513),lib/Dialect/LLHD/Transforms/Deseq.cpp,10,1,4,14,1,1,1,1,computeBoolean
27fdf5525cdc,2025-05-23,[Arc] Fix arc inliner deleting arcs that still have calls (#8510),lib/Dialect/Arc/Transforms/InlineArcs.cpp,2,1,1,2,1,1,1,1,notifyInlinedCallInto
a49186699205,2025-05-21,[LLHD] Fix handling of conditional drives (#8498),include/circt/Dialect/LLHD/Transforms/LLHDPasses.td;lib/Dialect/LLHD/Transforms/Mem2Reg.cpp,32,8,35,46,1,1,1,1,OpNode;Promoter;insertDrives;mem2reg;promote;propagateBackward;propagateForward;resolveDefinitions
a1929a1878d4,2025-04-19,[firrtl] Fix fprintf round trip issue,lib/Dialect/FIRRTL/FIRRTLOps.cpp,70,1,2,50,1,1,0,1,print
bd6949339c41,2025-04-09,[ImportVerilog] Fix empty replications within concatenations,lib/Conversion/ImportVerilog/Expressions.cpp,128,1,1,26,1,1,1,1,RvalueExprVisitor
475b936c55e8,2025-03-31,[FIRRTL] Fix: Enforce flat namespace for modules (#8345),lib/Dialect/FIRRTL/Import/FIRParser.cpp,53,3,12,91,1,1,1,1,FIRParser;parseContract
ac1184031e20,2025-03-27,[Seq] Fix width errors in HWMemSimImpl (#8351),lib/Dialect/Seq/Transforms/HWMemSimImpl.cpp,5,1,1,4,1,1,1,1,generateMemory
9570cdc98d19,2025-03-20,"[FIRRTL] Canonicalize Assert(clk, p, e) when p == e (#8320)",include/circt/Dialect/FIRRTL/FIRRTLCanonicalization.td;lib/Dialect/FIRRTL/FIRRTLFolds.cpp,21,3,0,17,1,1,0,1,Pat;getCanonicalizationPatterns
b08feee25e60,2025-03-06,"[Verif] Add multiplier integration test, fix bug in lower contracts (#8300)",lib/Dialect/Verif/Transforms/LowerContracts.cpp,4,4,9,7,1,1,1,1,assumeContractHolds;buildOpsToClone;cloneFanIn;inlineContract
c7c7352daf11,2025-02-27,[AffineParallelUnroll] Fix empty map lookup; move canonicalization passes before `MemoryCo,lib/Dialect/Calyx/Transforms/AffineParallelUnroll.cpp,3,2,11,10,1,1,1,1,runOnOperation;writeOpAnalysis
3f0aa622f0ca,2025-02-26,[ESI] Fix assert on lower unwrap value from block arg,lib/Dialect/ESI/Passes/ESILowerToHW.cpp,9,0,2,3,1,0,1,0,
6e93a0e8400d,2025-02-08,[MooreToCore]Fix a crash caused by block args as observed values for llhd.wait. (#8210),lib/Conversion/MooreToCore/MooreToCore.cpp,122,1,1,78,1,1,1,1,getValuesToObserve
8ba4ceaf3764,2025-02-06,[FIRRTL] Fix hasDontTouch crash on non-module block args (#8157),lib/Dialect/FIRRTL/FIRRTLOps.cpp,79,1,2,53,1,0,1,0,
671dec51619c,2025-01-31,[RTG][Elaboration] Support fixed and virtual registers (#8101),lib/Dialect/RTG/Transforms/ElaborationPass.cpp,53,4,34,37,1,1,1,1,DenseMapInfo;ElaboratorSharedState;SetStorage;print
0cea50e9e7d2,2025-01-25,[SCFToCalyx] Lower floating point comparison logic fix,lib/Conversion/SCFToCalyx/SCFToCalyx.cpp,22,1,2,7,1,1,1,1,buildOp
09790a726509,2025-01-15,[SCFToCalyx] Fix lowering `scf.if` op when it yields nothing (#8079),lib/Conversion/SCFToCalyx/SCFToCalyx.cpp,26,2,36,7,1,1,1,1,FuncOpPartialLoweringPattern;buildOp
dcf6516ee06b,2025-01-07,[VerifToSMT] Fix incorrect loop region result indexing (#8006),lib/Conversion/VerifToSMT/VerifToSMT.cpp,18,1,0,10,1,1,0,1,VerifBoundedModelCheckingOpConversion
a15654cd5d51,2025-01-04,[HWToBTOR2] Fix incorrect le/ge predicate name emission (#8028),lib/Conversion/HWToBTOR2/HWToBTOR2.cpp,17,0,0,1,1,0,0,0,
afa566aabda8,2024-12-31,[Arc][ArcToLLVM] Fix seq.clock_gate lowering,lib/Conversion/ArcToLLVM/CMakeLists.txt;lib/Conversion/ArcToLLVM/LowerArcToLLVM.cpp,33,3,3,28,1,1,1,1,ClockGateOp;add_circt_conversion_library;runOnOperation
99826b849987,2024-12-19,[HWArith] Fix lowering to HW with type aliases,lib/Conversion/HWArithToHW/HWArithToHW.cpp,4,2,5,7,1,1,1,1,isSignednessType;removeSignedness
54d3dd01a8b7,2024-12-13,[LLHD] Fix misprint in llhd-desequentialize pass (#7985),lib/Dialect/LLHD/Transforms/DesequentializationPass.cpp,6,0,0,2,1,0,0,0,
79c2d41904cd,2024-12-04,[ExportVerilog] Fix ifdef of macro w/ Verilog name,lib/Conversion/ExportVerilog/ExportVerilog.cpp,42,1,5,37,1,0,1,0,
dcd7c47a9fd0,2024-12-02,[HandshakeToDC] Fix a bug in the sync conversion pattern,lib/Conversion/HandshakeToDC/HandshakeToDC.cpp,4,0,4,2,1,0,1,0,
0bf454fb46d9,2024-11-21,[SCFToCalyx] fix https://github.com/llvm/circt/issues/7861 (#7862),lib/Conversion/SCFToCalyx/SCFToCalyx.cpp,42,0,3,7,1,0,1,0,
c5f14f1c26e6,2024-11-20,[HWToBTOR2] Fix crashes on initial value corner cases (#7844),lib/Conversion/HWToBTOR2/HWToBTOR2.cpp,24,0,2,1,1,0,1,0,
9c3bbcfb27fb,2024-11-20,[HWToBTOR2] Fix slice lowering argument meanings (#7842),lib/Conversion/HWToBTOR2/HWToBTOR2.cpp,25,0,0,1,1,0,0,0,
a50f19e8511e,2024-11-16,"[FIRRTL] Update, fix parser versions (#7827)",include/circt/Dialect/FIRRTL/FIRParser.h;lib/Dialect/FIRRTL/Import/FIRParser.cpp,63,10,6,101,1,1,1,1,minimumFIRVersion;parseExpImpl;parseExtModule;parseInstanceChoice;parseModule;parseOptionalEnabledLayers;parseSimpleStmtImpl;parseToplevelDefinition;parseType
